filename, - Tripling Detection - 2023-06-01 1-46pm, https-universe.roboflow.com-traffic-signal-violation-detection-tripling-detection-q0goq
WhatsApp-Image-2023-06-01-at-11-30-18_jpeg_jpg.rf.feed8bc10b70032ec3836f698e916ef5.jpg, 0, 1
images_jpg.rf.fa6046bda1d9efcbc9c0aa6c508a7d25.jpg, 0, 1
WhatsApp-Image-2023-06-01-at-12-02-39_jpeg_jpg.rf.fec98d441ca7f712a137c7f075e0cfed.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-02-15_jpeg_jpg.rf.ff8698742dd876f60def923987b3788b.jpg, 1, 0
images-5-_jpg.rf.fe2c16a1121f0731996c013660a724f6.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-11-15-40_jpeg_jpg.rf.ff76f5e85361ec2b818e226d0b7660df.jpg, 1, 1
WhatsApp-Image-2023-06-01-at-11-30-15-1-_jpeg_jpg.rf.fe0e91e77d012cb37e923c684b409f1a.jpg, 1, 1
WhatsApp-Image-2023-06-01-at-12-02-51_jpeg_jpg.rf.035907d978769b74997d541f46c20c67.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-20-46_jpeg_jpg.rf.0474a09c851341a492f92def0ee60e2f.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-02-26_jpeg_jpg.rf.10ec0abfa2b12580c9d672cea5db9c27.jpg, 1, 0
sans_helmet_1361_jpg.rf.0f6a8924dc4676c690e295b0a3c3115c.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-21-04_jpeg_jpg.rf.08df3fcdaff243cb198b8804e7ba6db8.jpg, 1, 1
RS3621_86518176-scr_jpg.rf.0705fb04d34a8a37b70230b5eaaa4506.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-11-26-14_jpeg_jpg.rf.09ef3a21fe3f68bba6904dd8cf898c16.jpg, 1, 0
WhatsApp-Image-2023-05-31-at-19-18-43-2-_jpeg_jpg.rf.0ed1ac23bc2d4780902286dae819104f.jpg, 1, 0
WhatsApp-Image-2023-05-31-at-19-18-42-1-_jpeg_jpg.rf.00c3287fb9d351f64178d281f6d57cb6.jpg, 1, 0
Pull-large_jpg.rf.0a34e591f344ca0e2648cf76926c3864.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-20-54_jpeg_jpg.rf.020a4a65f18e848ee3d987d63cbf8033.jpg, 1, 0
helmet-delhi_759-med_jpg.rf.01471dc8fff79fafdc561523d25f6cd8.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-20-31_jpeg_jpg.rf.1252c9415dac8ffa71c7ace832130df7.jpg, 1, 0
16-08-2020kanakapurakarnatakaindia-triple-riding-with-a-bike-in-india-2CC2W29_jpg.rf.1267ff1d8da8570bb1dae748cc56aa3f.jpg, 0, 1
WhatsApp-Image-2023-06-01-at-10-22-58_jpeg_jpg.rf.0424b8d7b79a5ef00546c8715f83bfbd.jpg, 0, 1
d43a44d68f10613114bb9ace87e87da9_jpg.rf.09df183560c3bcbff3a8a518782b60d0.jpg, 1, 0
Capture2_PNG_jpg.rf.081a9549889671057e05ef59b1d189a6.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-11-15-58_jpeg_jpg.rf.152fdc007675902e50f90ed3e53b06de.jpg, 1, 1
WhatsApp-Image-2023-06-01-at-11-30-00_jpeg_jpg.rf.0347376a40d171a0a85d481bbe9f9e2b.jpg, 0, 1
WhatsApp-Image-2023-06-01-at-12-02-11_jpeg_jpg.rf.049916dff9dfca8d92691547cd1db79e.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-11-29-54_jpeg_jpg.rf.0ec90576967fa5c0230d309dfb41b538.jpg, 0, 1
WhatsApp-Image-2023-06-01-at-11-30-34-1-_jpeg_jpg.rf.11ace609375538f36355224ab2d69249.jpg, 0, 1
WhatsApp-Image-2023-06-01-at-12-20-51_jpeg_jpg.rf.13d1fcbdc5c727ade5879a5226729565.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-12-02-38-1-_jpeg_jpg.rf.12e63b005883a1dd906df3325061f0a0.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-11-18-02_jpeg_jpg.rf.17031eef56ba334b3719c4f14b66ca88.jpg, 0, 1
WhatsApp-Image-2023-06-01-at-12-02-21-1-_jpeg_jpg.rf.1dddc66f282ef2b7b877a2fd1be5c188.jpg, 1, 0
WhatsApp-Image-2023-06-01-at-11-30-01_jpeg_jpg.rf.181dba26ae5f287a017bcf570a03871c.jpg, 0, 1
